battery_id,cycle_number,is_reference_cycle,discharge_duration_s,capacity_Ah,energy_Wh,avg_current_A,avg_voltage_V,start_voltage_V,end_voltage_V,delta_voltage_V,avg_power_W,avg_temp_C,start_temp_C,end_temp_C,delta_temp_C,max_temp_C,internal_resistance_ohm,voltage_std_V,voltage_variance_V2,voltage_skewness,voltage_kurtosis,voltage_p10_V,voltage_p25_V,voltage_p50_V,voltage_p75_V,voltage_p90_V,current_std_A,current_variance_A2,current_skewness,current_kurtosis,current_p10_A,current_p25_A,current_p50_A,current_p75_A,current_p90_A,temp_std_C,temp_variance_C2,temp_skewness,temp_kurtosis,temp_p10_C,temp_p25_C,temp_p50_C,temp_p75_C,temp_p90_C,q_initial_Ah,SOH_cycle_capacity_%
battery00,0,True,3502.292,2.4522210084722222,17.799597041795554,2.5206349033487614,7.259733732643616,8.329,4.814,3.5150000000000006,18.299207814865234,25.917208548870136,23.155,29.161,6.006,29.161,0.014277215942891677,0.5838527993997059,0.3408840913668732,-0.5863288338353463,0.44892015973624355,6.561,6.851,7.281,7.747,7.989,0.0005836984587440482,3.407038907401773e-07,0.7781590010621254,2.500025963549268,2.52,2.52,2.521,2.521,2.521,1.0538582920978794,1.1106172998234591,-0.07404533814451046,0.1977469002691632,24.3624,25.35,26.04,26.538,27.179,2.4522210084722222,100.0
battery00,1,False,537.4229999999998,2.4327156044599896,15.68511158066226,16.281694627829964,6.451525754884547,8.657,4.921,3.7359999999999998,104.97769305859272,64.8331918294849,22.35,94.618,72.268,94.618,0.10732356714529513,0.4855584621927862,0.23576702020702336,-0.3154469056366459,0.2357154763151299,5.8378000000000005,6.106,6.472,6.8815,7.031,0.6621602952040545,0.4384562565447206,-23.62141226993372,556.6474792693183,16.28671765549021,16.298038376888897,16.307927283983094,16.3241392262233,16.336094548788708,19.2979192345653,372.4096867838054,-0.3664930096409834,-0.9744826915070899,36.1252,49.914500000000004,67.513,82.3365,88.9124,2.4522210084722222,99.20458213412073
battery00,2,False,539.3070000000007,2.440108763159925,15.797368723567997,16.274048785584352,6.476987500000001,8.703,4.914,3.7889999999999997,105.34117857092748,67.25828214285715,26.872,96.305,69.433,96.305,0.10082343742060283,0.5083047014209165,0.2583736694866071,-0.23361727150892708,0.07990017109316172,5.8464,6.1135,6.485,6.91175,7.1062,0.6636405731813525,0.44041881037247416,-23.549647129698666,553.3899366532822,16.277280388750196,16.287931085106617,16.301396379021497,16.319069907240188,16.3296498643114,18.54737425002244,344.0050915703954,-0.3089593315328542,-0.9978893104141213,40.4253,52.777,69.28649999999999,82.449,91.7131,2.4522210084722222,99.5060704043212
battery00,3,False,538.1409999999996,2.4356040699302857,15.759754862073297,16.2788541162157,6.475880073800737,8.694,4.916,3.7780000000000005,105.3521196472312,67.71788376383763,27.179,97.005,69.826,97.022,0.10095120948500695,0.5052575376425809,0.255285179344644,-0.22584385637829574,0.0955731132425961,5.8439,6.109249999999999,6.4855,6.91,7.0989,0.6747997524393224,0.45535470589217086,-23.17090676109469,535.5945863833975,16.2828226225654,16.2948344791636,16.306894495807093,16.32176017712731,16.337859715257643,18.64807405227636,347.7506658591829,-0.3030986335162417,-1.0020301339402655,40.6002,53.14275,69.6505,84.402,91.1269,2.4522210084722222,99.32237190348968
battery00,4,False,493.8719999999994,2.4217702133726076,15.352918822142318,17.635016831045345,6.332611969111969,8.632,4.924,3.7079999999999993,111.77839282205446,70.9380250965251,23.201,102.171,78.97,102.308,0.10799503518057844,0.4433969847795163,0.1966008861115666,-0.0501012507879539,1.1084828039263908,5.819100000000001,6.018000000000001,6.332,6.6195,6.9573,1.359718454183351,1.8488342746467616,-3.5352816509180918,45.36893624881306,16.324040431802306,16.523991341328898,17.078700059455933,18.86522857160589,19.346378401602234,21.641210404895226,468.34198778894535,-0.5343717158663277,-0.8977911375985133,37.4003,53.79825,76.752,89.383,95.535,2.4522210084722222,98.75823610537509
battery00,5,False,533.2430000000022,2.41502505042398,15.578081405391652,16.28983092285835,6.453693548387097,8.664,4.93,3.734,105.0645827482645,67.67808960573477,25.923,97.005,71.082,97.005,0.10303569215325542,0.4918889757967218,0.24195476451034797,-0.2604876766601914,0.1795255946253338,5.8385,6.1025,6.4745,6.87475,7.0506,0.6656536867964559,0.4430948307457141,-23.51207582607898,551.5455114555403,16.29233940501316,16.305163711464587,16.31654137743887,16.33286066928973,16.3460266135509,19.091942270461573,364.50225965863746,-0.3279521634262755,-0.9900852410170291,39.947500000000005,52.39625,69.87,84.746,91.9955,2.4522210084722222,98.48317268632259
battery00,6,False,533.9459999999963,2.419073783071796,15.63201723950234,16.29565953656418,6.466291139240506,8.674,4.92,3.7539999999999996,105.30739729506125,68.7030452079566,27.404,98.856,71.452,98.856,0.1015996851029279,0.5001781384775007,0.25017817021081784,-0.25152711852145293,0.11584350232355778,5.8389999999999995,6.105,6.478,6.895,7.081799999999999,0.6688983412278695,0.4474249908973954,-23.407173091110582,546.5965832601927,16.301457246680435,16.3128640324638,16.322116948914243,16.337035176727106,16.35050177835468,19.075340499112677,363.8686151570883,-0.2778955511650256,-1.0006286289622597,41.340199999999996,53.555,69.935,86.334,93.3524,2.4522210084722222,98.64827740705648
battery00,7,False,532.4850000000006,2.413070899707994,15.584997638884316,16.29930623012272,6.461556586270872,8.667,4.925,3.742,105.25236820720667,68.59887012987012,27.416,98.694,71.278,98.694,0.1015567126012384,0.49948491283756896,0.24948517815235388,-0.2406956584396358,0.11970367793996317,5.836799999999999,6.103,6.475,6.888,7.0734,0.6776606024910212,0.45922389216849385,-23.106520116088358,532.6065350093429,16.303471793351793,16.31632415059936,16.328438646923708,16.342661118223695,16.355433542245223,19.09018301206064,364.4350874339686,-0.28815746025058714,-1.0136313684612568,40.8224,53.303,70.529,84.0395,93.1644,2.4522210084722222,98.40348367341412
battery00,8,False,530.997000000003,2.4068595821606533,15.537347319743846,16.30291712565424,6.458480373831776,8.661,4.942,3.7189999999999994,105.2248185634017,68.83615887850468,27.373,99.037,71.664,99.037,0.10187056074584047,0.4967234916781236,0.2467342271849069,-0.2354511136708771,0.12239107618707967,5.8362,6.097,6.468,6.8839999999999995,7.0652,0.6803547007508072,0.46288251883372045,-23.02480924357716,528.7616177421758,16.306946622388786,16.32124565454095,16.331948879874133,16.34690284924878,16.35827227726401,19.28554646610391,371.93230249625293,-0.2904405312958559,-1.0302503899180877,40.973,53.4425,70.82,85.32600000000001,93.44,2.4522210084722222,98.15019012744574
battery00,9,False,529.9409999999916,2.402293821594977,15.4974774250765,16.304387072747346,6.4540075757575766,8.654,4.932,3.7219999999999995,105.16095076917686,68.8016287878788,27.408,98.64,71.232,98.64,0.10427157015520847,0.493977275980416,0.2440135491850321,-0.24425294489126204,0.17567229056371403,5.8349,6.100750000000001,6.4670000000000005,6.875,7.057,0.6849626120915618,0.4691737799632954,-22.86879787363331,521.6546579914369,16.30615661288872,16.32334728677939,16.334782100585734,16.34904653189947,16.361145718592667,19.073453838367154,363.79664132432276,-0.34455061490968536,-1.0178239095623074,40.7675,53.6295,71.5215,85.59475,91.92580000000001,2.4522210084722222,97.964001339816
