battery_id,cycle_number,is_reference_cycle,internal_resistance_ohm,discharge_duration_s,capacity_Ah,energy_Wh,avg_current_A,avg_voltage_V,start_voltage_V,end_voltage_V,delta_voltage_V,avg_temp_C,start_temp_C,end_temp_C,delta_temp_C,max_temp_C,avg_power_W,q_initial_Ah,SOH_cycle_capacity_%,cycles_since_last_ref,SOH_at_last_ref,HI_dV_dt_discharge_V_s,HI_dT_dt_discharge_C_s,HI_voltage_ratio_end_start,SOH_future_5
battery00,0,True,0.009516256938937711,3502.292,2.4522210084722222,17.799597041795554,2.5206349033487614,7.259733732643616,8.329,4.814,3.5150000000000006,25.917208548870136,23.155,29.161,6.006,29.161,18.299207814865234,2.4522210084722222,100.0,0,100.0,0.0010036284810061528,0.0017148770005470705,0.5779805498859406,98.48317268632259
battery00,1,False,0.11546542546236388,537.4229999999998,2.4327156044599896,15.68511158066226,16.281694627829964,6.451525754884547,8.657,4.921,3.7359999999999998,64.8331918294849,22.35,94.618,72.268,94.618,104.97769305859272,2.4522210084722222,99.20458213412073,1,100.0,0.0069516935449357425,0.13447135682693154,0.5684417234607833,98.64827740705648
battery00,2,False,0.10745761707125265,539.3070000000007,2.440108763159925,15.797368723567997,16.274048785584352,6.476987500000001,8.703,4.914,3.7889999999999997,67.25828214285715,26.872,96.305,69.433,96.305,105.34117857092748,2.4522210084722222,99.5060704043212,2,100.0,0.007025682959798398,0.1287448521899399,0.5646328852119958,98.40348367341412
battery00,3,False,0.10772767766295024,538.1409999999996,2.4356040699302857,15.759754862073297,16.2788541162157,6.475880073800737,8.694,4.916,3.7780000000000005,67.71788376383763,27.179,97.005,69.826,97.022,105.3521196472312,2.4522210084722222,99.32237190348968,3,100.0,0.007020464896746397,0.12975409790370934,0.5654474350126524,98.15019012744574
battery00,4,False,0.11585080350304283,493.8719999999994,2.4217702133726076,15.352918822142318,17.635016831045345,6.332611969111969,8.632,4.924,3.7079999999999993,70.9380250965251,23.201,102.171,78.97,102.308,111.77839282205446,2.4522210084722222,98.75823610537509,4,100.0,0.007508018271940916,0.1598997311044159,0.5704355885078777,97.964001339816
battery00,5,False,0.10974743563224156,533.2430000000022,2.41502505042398,15.578081405391652,16.28983092285835,6.453693548387097,8.664,4.93,3.734,67.67808960573477,25.923,97.005,71.082,97.005,105.0645827482645,2.4522210084722222,98.48317268632259,5,100.0,0.00700243603760384,0.1333013279124146,0.5690212373037857,97.75601461385571
battery00,6,False,0.10864058442625886,533.9459999999963,2.419073783071796,15.63201723950234,16.29565953656418,6.466291139240506,8.674,4.92,3.7539999999999996,68.7030452079566,27.404,98.856,71.452,98.856,105.30739729506125,2.4522210084722222,98.64827740705648,6,100.0,0.00703067351380107,0.13381877568143688,0.5672123587733456,96.80461004388401
battery00,7,False,0.10743851459304941,532.4850000000006,2.413070899707994,15.584997638884316,16.29930623012272,6.461556586270872,8.667,4.925,3.742,68.59887012987012,27.416,98.694,71.278,98.694,105.25236820720667,2.4522210084722222,98.40348367341412,7,100.0,0.0070274280026667345,0.13385916974187054,0.5682473751009577,97.76977948109081
battery00,8,False,0.10863080103876102,530.997000000003,2.4068595821606533,15.537347319743846,16.30291712565424,6.458480373831776,8.661,4.942,3.7189999999999994,68.83615887850468,27.373,99.037,71.664,99.037,105.2248185634017,2.4522210084722222,98.15019012744574,8,100.0,0.007003806047868402,0.13496121447013748,0.570603856367625,97.55982008681079
battery00,9,False,0.1188588141202363,529.9409999999916,2.402293821594977,15.4974774250765,16.304387072747346,6.4540075757575766,8.654,4.932,3.7219999999999995,68.8016287878788,27.408,98.64,71.232,98.64,105.16095076917686,2.4522210084722222,97.964001339816,9,100.0,0.007023423362223452,0.13441496317514803,0.5699098682690086,97.42657140792555
battery00,10,False,0.11744122130813306,528.6830000000045,2.3971935274061456,15.46377216725181,16.30812198254638,6.45378776290631,8.652000000000001,4.961,3.6910000000000007,69.07742829827914,27.44,98.407,70.967,98.407,105.18085961534928,2.4522210084722222,97.75601461385571,10,100.0,0.006981499310550876,0.13423355772740828,0.5733934350439205,97.22022641684376
battery00,11,False,0.10677862516792794,523.6459999999934,2.3738629846657346,15.254034173256105,16.305415612677926,6.430917883211679,8.6,4.914,3.686,66.78397810218978,24.635,97.421,72.786,97.421,104.79599702684698,2.4522210084722222,96.80461004388401,11,100.0,0.007039106571997202,0.1389984837084613,0.5713953488372093,97.03209012148079
battery00,12,False,0.1043641026406355,528.7750000000015,2.397531072372273,15.445921869975354,16.308410537670788,6.4452699275362315,8.639,4.906000000000001,3.7329999999999988,68.1441213768116,26.864,97.946,71.082,97.946,105.04888717363824,2.4522210084722222,97.76977948109081,12,100.0,0.007059713488723916,0.13442768663420132,0.5678898020604237,96.79473103134254
battery00,13,False,0.10468221199782729,527.5720000000001,2.392382403996477,15.406421695133163,16.309889614460385,6.443694183864915,8.633,4.921,3.711999999999999,68.19642213883677,26.895,97.77,70.875,97.77,105.03035863837339,2.4522210084722222,97.55982008681079,13,100.0,0.007036006459781789,0.1343418528655804,0.5700220085717597,96.67536233274777
battery00,14,False,0.1048057144019831,526.718000000008,2.3891148518993415,15.380613039624983,16.314010750642627,6.440508474576272,8.631,4.914,3.7170000000000005,68.32180414312619,27.021,98.141,71.12,98.141,105.00456634067623,2.4522210084722222,97.42657140792555,14,100.0,0.00705690711158522,0.13502481403711078,0.5693430656934306,96.40552301003511
battery00,15,False,0.11474625777231215,525.4630000000034,2.3840548166781037,15.337944017591155,16.318129144810086,6.433011494252874,8.625,4.914,3.7110000000000003,68.34806513409963,26.777,97.108,70.331,97.108,104.90791919323313,2.4522210084722222,97.22022641684376,15,100.0,0.007062343114548458,0.13384577030161887,0.5697391304347825,95.70629969287256
battery00,16,False,0.11508245924716119,524.3499999999913,2.3794412989186515,15.303087459071858,16.321055927517545,6.434140655105974,8.623,4.921,3.701999999999999,68.1294373795761,26.82,98.318,71.49799999999999,98.425,104.9448639455296,2.4522210084722222,97.03209012148079,16,100.0,0.007060169733956442,0.1363554877467363,0.57068305694074,95.6507460654787
battery00,17,False,0.11449452985423375,523.054999999993,2.373620729444763,15.260103121579354,16.32116552084101,6.431750487329435,8.621,4.936,3.6850000000000005,68.19136452241715,26.84,98.748,71.908,98.748,104.90626130798688,2.4522210084722222,96.79473103134254,17,100.0,0.007045148215770903,0.1374769383716836,0.5725553880060318,96.0228433476685
battery00,18,False,0.11468845055341996,522.2160000000003,2.370693545140282,15.235439118764203,16.327378341901966,6.427183070866142,8.616,4.93,3.686,68.2988405511811,26.883000000000003,97.946,71.06299999999999,98.141,104.87076203606428,2.4522210084722222,96.67536233274777,18,100.0,0.007058381972210728,0.13607970648160903,0.5721912720519963,96.01607803701029
